Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
61.11198499999987,1207,,,,-0.03125,0.109375,-1.052734375,0.008548072698016607,0.5956173492176683,15.38711166381836,0.3185811908962205,0,2416,4.902044358312378,0,0,0,0,0.400390625,,
61.13938499999978,1207,,,,-0.0703125,-0.041015625,-0.939453125,0.007456726827619838,0.5519296488252116,15.385819435119629,0.28326710779685527,0,2413,4.358296572470983,0,0,0,0,0.404296875,,
61.16560999999987,1207,,,,-0.0625,-0.00390625,-1.021484375,0.0075975038631719664,0.5918848502083701,15.384000778198242,0.3109857114078477,0,2404,4.784204426306863,0,0,0,0,0.408203125,,
61.193580000000075,1207,,,,0.009765625,-0.078125,-0.966796875,0.0067496312023753065,0.5836340629246587,15.38800048828125,0.2806037636520341,0,2393,4.317930852091057,0,0,0,0,0.4140625,,
61.220929999999704,1207,,,,-0.048828125,0.068359375,-1.046875,0.0062591615850566005,0.629075328458399,15.387600898742676,0.3059943886520341,0,2387,4.708519529832255,0,0,0,0,0.41796875,,
61.24774499999965,1207,,,,-0.0625,-0.04296875,-0.947265625,0.007101361872403079,0.5846599544652259,15.388500213623047,0.3306525917770341,0,2382,5.088247479195903,0,0,0,0,0.416015625,,
61.27393499999959,1207,,,,0.0234375,-0.015625,-0.96484375,0.007588301865185014,0.5842452323530818,15.384445190429688,0.3077304931404069,0,2378,4.734262905142489,0,0,0,0,0.419921875,,
61.30012499999953,1207,,,,-0.048828125,0.095703125,-1.046875,0.00665723052224064,0.5899203770455816,15.38577938079834,0.3012200864078477,0,2378,4.634505794536158,0,0,0,0,0.421875,,
61.328020000000016,1207,,,,-0.07421875,-0.11328125,-1.00390625,0.007916493934575507,0.597188927747899,15.386500358581543,0.3135627480270341,0,2377,4.824633334955774,0,0,0,0,0.421875,,
61.35493999999948,1207,,,,-0.009765625,0.095703125,-1.06640625,0.00919611381196901,0.597188927747899,15.38577938079834,0.3174961181404069,0,2378,4.8849252279681865,0,0,0,0,0.423828125,,
61.39300499999989,1207,,,,0,0.015625,-1.005859375,0.007590107169736419,0.5887416931479086,15.386223793029785,0.3001350136520341,0,2377,4.617944488174246,0,0,0,0,0.423828125,,
61.41958499999996,1207,,,,-0.078125,0.013671875,-0.966796875,0.006761258111185085,0.5816041073231106,15.387693405151367,0.3068958194972947,0,2374,4.7224187777470465,0,0,0,0,0.423828125,,
61.44895499999961,1207,,,,-0.01171875,-0.12109375,-0.95703125,0.007575535575142507,0.5772386114058029,15.387500762939453,0.2891486855270341,0,2370,4.449275619150177,0,0,0,0,0.419921875,,
61.474509999999775,1207,,,,0,0.056640625,-1.0234375,0.007799759930879007,0.5840051300776299,15.386401176452637,0.3050178261520341,0,2370,4.693126639144683,0,0,0,0,0.423828125,,
61.54225499999989,1207,,,,-0.0859375,-0.046875,-1.0546875,0.00773682846388565,0.5760162725489567,15.388001441955566,0.3391975136520341,0,2371,5.219571829185243,0,0,0,0,0.423828125,,
61.575989999999756,1205,,,,-0.056640625,0.072265625,-0.98828125,0.007468559431799395,0.5302811545712827,15.386436462402344,0.3107498260261491,0,2369,4.781332453853925,0,0,0,0,0.427734375,,
61.60491999999993,1204,,,,-0.03515625,-0.0546875,-1.021484375,0.007816791448972132,0.6503205600269665,15.386547088623047,0.31700291950721293,0,2368,4.8775803482287134,0,0,0,0,0.43359375,,
61.632259999999775,1203,,,,0.037109375,-0.052734375,-0.9453125,0.008930697570597416,0.5783081579055432,15.387556076049805,0.2925395341636613,0,2368,4.501468486404826,0,0,0,0,0.435546875,,
61.65859499999974,1202,,,,-0.03125,0.0625,-1.08203125,0.008229147117738643,0.5034726441430961,15.38800048828125,0.3001350136520341,0,2370,4.6184777366278,0,0,0,0,0.439453125,,
61.69425,1202,,,,-0.048828125,0.009765625,-1.001953125,0.007477322406636937,0.5785046052218221,15.388444900512695,0.3044753046752885,0,2370,4.685401449562493,0,0,0,0,0.4375,,
61.724075000000184,1202,,,,-0.025390625,-0.056640625,-0.974609375,0.004625424517031586,0.6415459132331779,15.387001037597656,0.2724657328845933,0,2364,4.192430514605043,0,0,0,0,0.44140625,,
61.75281499999994,1202,,,,-0.072265625,-0.033203125,-1.01953125,0.007272123972524703,0.5642294335722259,15.388799667358398,0.2517951699020341,0,2350,3.8748254268308737,0,0,0,0,0.44140625,,
61.78134999999963,1202,,,,-0.05078125,-0.01171875,-0.98828125,0.006932739271130501,0.5599075926140913,15.38888931274414,0.3055603476287797,0,2339,4.702234368022912,0,0,0,0,0.443359375,,
61.81518500000006,1202,,,,-0.03125,0.083984375,-1.060546875,0.006450793261199463,0.5490593352595817,15.387556076049805,0.2730082841636613,0,2331,4.200930281794478,0,0,0,0,0.447265625,,
61.84845499999961,1202,,,,-0.08203125,0.08203125,-1.05859375,0.004310606310253091,0.5050734169272739,15.386910438537598,0.26861867029685527,0,2323,4.133211421976772,0,0,0,0,0.447265625,,
61.87629499999993,1202,,,,0.03515625,-0.0859375,-0.90625,0.008101632555559892,0.5760053588091635,15.388727188110352,0.31256398279685527,0,2313,4.809961860090023,0,0,0,0,0.44921875,,
61.904555000000165,1202,,,,-0.01171875,-0.16796875,-1.060546875,0.006233517701769877,0.5312044569577933,15.38711166381836,0.2426263364078477,0,2304,3.73331853089071,0,0,0,0,0.44921875,,
61.93606499999994,1201,,,,-0.14453125,0.173828125,-1.025390625,0.005509702575472393,0.555509355477404,15.38888931274414,0.3088155658962205,0,2299,4.7523285616293816,0,0,0,0,0.4453125,,
61.97134499999974,1201,,,,-0.041015625,0.134765625,-1.072265625,0.00538529603090106,0.5599913555670046,15.3883638381958,0.2610725136520341,0,2294,4.017478828229841,0,0,0,0,0.447265625,,
61.99741999999946,1201,,,,0,0.14453125,-1.021484375,0.008135295268302006,0.4954764198400627,15.3883638381958,0.3099006386520341,0,2290,4.768863781266745,0,0,0,0,0.451171875,,
62.02489500000002,1201,,,,0.0234375,0.017578125,-0.9375,0.006603556387236118,0.5356354353138606,15.387556076049805,0.2589023681404069,0,2288,3.9838747079826016,0,0,0,0,0.44921875,,
62.0502200000002,1201,,,,0.0625,-0.05859375,-0.927734375,0.006261812049955572,0.5362466047422836,15.388444900512695,0.3044753046752885,0,2286,4.685401449562493,0,0,0,0,0.44921875,,
62.07908999999985,1201,,,,0.048828125,-0.080078125,-0.93359375,0.00621116908440337,0.5408522029350432,15.388500213623047,0.2635139199020341,0,2284,4.055084012705098,0,0,0,0,0.451171875,,
62.10666999999946,1201,,,,0.009765625,-0.08203125,-0.939453125,0.006215256319942831,0.5565243332781779,15.38888931274414,0.3229214819194749,0,2283,4.969402941966107,0,0,0,0,0.453125,,
62.134520000000016,1201,,,,0.03125,-0.05078125,-0.955078125,0.006554351219734089,0.5675908654285529,15.38800048828125,0.2513068886520341,0,2283,3.8671105252859426,0,0,0,0,0.451171875,,
62.16107999999961,1201,,,,0.048828125,-0.0703125,-0.970703125,0.00694446341757655,0.5777878453608991,15.384889602661133,0.3359422953845933,0,2283,5.1684351273565445,0,0,0,0,0.451171875,,
62.194435000000055,1201,,,,0.03125,-0.13671875,-0.814453125,0.008575535346802467,0.5160125311655624,15.387556076049805,0.2654128046752885,0,2283,4.0840544152426554,0,0,0,0,0.453125,,
62.22016499999957,1201,,,,0.041015625,-0.291015625,-0.986328125,0.006633957927390319,0.5328306041869904,15.389090538024902,0.30901285727042704,0,2287,4.755426837948368,0,0,0,0,0.455078125,,
62.24784499999974,1201,,,,-0.048828125,-0.1171875,-0.900390625,0.00585894633722312,0.5246998680410048,15.387500762939453,0.2586311074020341,0,2289,3.979686362468675,0,0,0,0,0.455078125,,
62.274,1201,,,,-0.072265625,-0.1015625,-1.03515625,0.006851636034044576,0.5959701358564856,15.390666961669922,0.3012200864078477,0,2288,4.63597803206862,0,0,0,0,0.453125,,
62.30681499999994,1201,,,,-0.111328125,-0.03125,-1.03515625,0.007181281345694278,0.5530755915035048,15.38888931274414,0.2654128046752885,0,2286,4.084408273332995,0,0,0,0,0.455078125,,
62.33226500000013,1201,,,,-0.10546875,0.099609375,-1.08984375,0.007095404388973392,0.5535776235339952,15.389599800109863,0.3225959511520341,0,2285,4.964622585365595,0,0,0,0,0.453125,,
62.36135999999987,1201,,,,-0.125,-0.017578125,-1.04296875,0.008366896197767813,0.46006515401983156,15.387500762939453,0.2647346230270341,0,2283,4.073604213804976,0,0,0,0,0.44921875,,
62.386779999999796,1201,,,,-0.08203125,0,-1.03515625,0.004823693944849507,0.5472913094130721,15.388799667358398,0.2991584511520341,0,2283,4.603689473575876,0,0,0,0,0.44921875,,
